Algorithm,Severity,Traffic,Route,Travel Time (s),Computation Time (s),Success,Timestamp
adaptive_astar,CRITICAL,high,Route 1,199.0,529.3975801467896,True,2026-01-16T19:50:19.963198
adaptive_astar,CRITICAL,high,Route 2,342.0,511.7227153778076,True,2026-01-16T19:59:21.692954
adaptive_astar,CRITICAL,high,Route 3,362.0,547.5761861801147,True,2026-01-16T20:08:59.272961
standard_astar,N/A,high,Route 1,1291.0,683.2059638500214,True,2026-01-15T19:42:25.151027
standard_astar,N/A,high,Route 2,243.0,512.4621241092682,True,2026-01-15T19:51:27.620510
standard_astar,N/A,high,Route 3,431.0,511.84228229522705,True,2026-01-15T20:00:29.484426
dijkstra,N/A,high,Route 1,1291.0,726.2698724269867,True,2026-01-15T20:13:05.772126
dijkstra,N/A,high,Route 2,341.0,519.7628917694092,True,2026-01-15T20:22:15.558933
dijkstra,N/A,high,Route 3,431.0,561.6366260051727,True,2026-01-15T20:32:07.211369
ch,N/A,high,Route 1,1291.0,714.7211046218872,True,2026-01-15T20:44:31.943563
ch,N/A,high,Route 2,243.0,459.84540939331055,True,2026-01-15T20:52:41.793887
ch,N/A,high,Route 3,431.0,516.0127785205841,True,2026-01-15T21:01:47.817080
chwrapper,N/A,high,Route 1,1291.0,628.1058211326599,True,2026-01-15T21:12:45.941029
chwrapper,N/A,high,Route 2,243.0,457.4024260044098,True,2026-01-15T21:20:53.348790
chwrapper,N/A,high,Route 3,431.0,504.61427092552185,True,2026-01-15T21:29:47.968774
alt,N/A,high,Route 1,1291.0,514.529824256897,True,2026-01-15T21:38:52.519902
alt,N/A,high,Route 2,243.0,370.9319884777069,True,2026-01-15T21:45:33.460788
alt,N/A,high,Route 3,431.0,400.74665927886963,True,2026-01-15T21:52:44.211429
