Algorithm,Severity,Traffic,Route,Travel Time (s),Computation Time (s),Success,Timestamp
adaptive_astar,CRITICAL,moderate,Route 1,143.0,311.03700160980225,True,2026-01-14T22:00:44.116724
adaptive_astar,CRITICAL,moderate,Route 2,186.0,304.12411189079285,True,2026-01-14T22:06:18.252948
adaptive_astar,CRITICAL,moderate,Route 3,156.0,303.59689450263977,True,2026-01-14T22:11:51.857321
standard_astar,N/A,moderate,Route 1,191.0,285.6388852596283,True,2026-01-14T22:17:07.502220
standard_astar,N/A,moderate,Route 2,223.0,285.81917214393616,True,2026-01-14T22:22:23.324710
standard_astar,N/A,moderate,Route 3,230.0,287.35818886756897,True,2026-01-14T22:27:40.692331
dijkstra,N/A,moderate,Route 1,191.0,282.3976378440857,True,2026-01-14T22:32:53.096622
dijkstra,N/A,moderate,Route 2,223.0,290.6351716518402,True,2026-01-14T22:38:13.738969
dijkstra,N/A,moderate,Route 3,230.0,284.27064538002014,True,2026-01-14T22:43:28.016837
ch,N/A,moderate,Route 1,191.0,285.6440908908844,True,2026-01-14T22:48:43.664464
ch,N/A,moderate,Route 2,223.0,285.00239849090576,True,2026-01-14T22:53:58.673886
ch,N/A,moderate,Route 3,230.0,285.8830552101135,True,2026-01-14T22:59:14.565005
chwrapper,N/A,moderate,Route 1,191.0,287.06427812576294,True,2026-01-14T23:04:31.631901
chwrapper,N/A,moderate,Route 2,223.0,286.73503160476685,True,2026-01-14T23:09:48.381498
chwrapper,N/A,moderate,Route 3,230.0,288.7183458805084,True,2026-01-14T23:15:07.108907
alt,N/A,moderate,Route 1,191.0,281.7151257991791,True,2026-01-14T23:20:18.827040
alt,N/A,moderate,Route 2,223.0,284.8296768665314,True,2026-01-14T23:25:33.663606
alt,N/A,moderate,Route 3,230.0,294.83719873428345,True,2026-01-14T23:30:58.503825
